KG id,KG name,Sparql endpoint,SPARQL endpoint URL,Availability of RDF dump (metadata),Availability of RDF dump (query),URL for download the dataset,Inactive links,Creation date,Modification date,Percentage of data updated,Time elapsed since last modification,Historical updates,Languages (query),Languages (metadata),Serialization formats,Availability for download (query),Availability for download (metadata),Use HTTPS,Requires authentication,Average length of URIs (subject),Standard deviation lenght URIs (subject),Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Average length of URIs (predicate),Standard deviation lenght URIs (predicate),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Average length of URIs (object),Standard deviation lenght URIs (object),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),Use RDF structures,License machine redeable (metadata),License machine redeable (query),License human redeable,Minimum latency,25th percentile latency,Median latency,75th percentile latency,Maximum latency,Average latency,Standard deviation of latency,Minimum throughput,25th percentile throughput,Median throughput,75th percentile throughput,Maximum throughput,Average throughput, Standard deviation of throughput, Number of triples (metadata),Number of triples (query),Number of entities,Number of entities counted with regex,Number of property,Dataset update frequency,Degree of connection,Clustering coefficient,Centrality,Number of samAs chains,External links,PageRank,Description,Dataset URL,Is on a trusted provider list,Trust value,Vocabularies,Author (query),Author (metadata),Contributor,Publisher,Sources,Signed, Number of triples,Number of triples linked,Interlinking completeness,New vocabularies defined in the dataset,New terms defined in the dataset,Number of labels/comments present on the data, Percentage of triples with labels,Regex uri,Presence of example,Number of blank nodes,Uses RDF structures,Deprecated classes/properties used,Entities as member of disjoint class,Triples with misplaced property problem,Triples with misplaced class problem,Ontology Hijacking problem,Undefined class used without declaration,Undefined properties used without declaration,Extensional conciseness,Intensional conciseness,Triples with empty annotation problem,Triples with white space in annotation(at the beginning or at the end),Triples with malformed data type literals problem,Functional properties with inconsistent values,Invalid usage of inverse-functional properties,Number of triples updated,Score,Normalized score,Limited,Offline dumps,Url file VoID,Availability VoID file,MinTPNoOff,MeanTPNoOff,MaxTPNoOff,sdTPNoOff,URIs Deferenceability
alpino-rdf,ALPINO RDF Treebank,endpoint offline,http://lexinfo.net/corpora/alpino/query.php,0,endpoint offline,[],True,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Creative Commons Attribution Share-Alike - cc-by-sa -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,1799901,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,1,0,"0,001",endpoint offline,"['Name:lexinfo, value:466794']","0,00013573205743838186",Export of the ALPINO Dutch Treebank to RDF.,absent,absent,"0,5",endpoint offline,endpoint offline,False,endpoint offline,endpoint offline,Web:absent Name:absent Email:absent,endpoint offline,1799901,466794,0.26,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,True,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.288,0,endpoint offline,['http://lexinfo.net/corpora/alpino/alpino-rdf.zip'],,VoID file absent,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
Altawil,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,[],{},,endpoint absent,[],None,False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
am-collections-online,Auckland Museum Collections Online,endpoint offline,http://api.aucklandmuseum.com,-1,endpoint offline,[],False,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,absent,endpoint offline,endpoint offline,-1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Creative Commons Attribution - cc-by -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,[],{},,endpoint offline,[],None,"Search more than one million catalogue records from Auckland Museum’s natural sciences, human history and documentary heritage collections.",api.aucklandmuseum.com,absent,"0,75",endpoint offline,endpoint offline,"Name: None, Email:CollectionEnquiries@aucklandmuseum.com",endpoint offline,endpoint offline,Web:api.aucklandmuseum.com Name:Absent Email:CollectionEnquiries@aucklandmuseum.com,endpoint offline,0,0,0,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,False,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.387,0,endpoint offline,[],api.aucklandmuseum.com/.well-known/void,VoID file offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
Amer Nejma,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,[],{},,endpoint absent,[],None,False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
amon,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,[],{},,endpoint absent,[],None,False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
amsterdam-museum-as-edm-lod,Amsterdam Museum as Linked Open Data in the Europeana Data Model,endpoint offline,http://data.dive.beeldengeluid.nl/sparql/,-1,endpoint offline,[],True,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,-1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Creative Commons Attribution Share-Alike - cc-by-sa -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,5000000,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,4,"0,500","0,002",endpoint offline,"['Name:geonames-semantic-web, value:658', 'Name:dbpedia, value:43']","8,179847211476199e-05","The Amsterdam Museum dataset describes more than 70.000 cultural heritage objects related to the city of Amsterdam described by the museum. 

The metadata was retrieved from an XML Web API of the museum's Adlib collection database and converted to RDF compliant with the Europeana Data Model (EDM). This makes the Amsterdam Museum data the first of its kind to be officially converted and made available in this format.

",http://semanticweb.cs.vu.nl/lod/am/,absent,"0,75",endpoint offline,endpoint offline,"Name: None, Email:v.de.boer@vu.nl",endpoint offline,endpoint offline,"Web:http://semanticweb.cs.vu.nl/lod/am/ Name:Victor de Boer, Jan Wielemaker, Jacco van Ossenbruggen, Antoine Isaac, Guus Schreiber Email:v.de.boer@vu.nl",endpoint offline,5000000,701,0.00,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,False,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.337,0,endpoint offline,[],http://semanticweb.cs.vu.nl/lod/am//.well-known/void,VoID file offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
analisi-del-blog-http-www-beppegrillo-it,Analisi del blog http://www.beppegrillo.it/,endpoint absent,,-1,endpoint absent,[],True,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Creative Commons Attribution - cc-by -,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,[],{},,endpoint absent,[],None,"Analisi del blog http://www.beppegrillo.it/. <br/>
I dati vanno da gennaio 2005 a febbraio 2013.<br/>
Il pacchetto è diviso in quattro dataset:<br/>
- Dati sui singoli post<br/>
- Dati sulle singole tag<br/>
- Trigrammi estratti dal testo dei post<br/>
- Trigrammi estratti dai commenti

L'analisi è stata effettuata utilizzando processing.",Absent,absent,"0,5",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:Absent Name:Michele Mauri Email:michele.mauri@mail.polimi.it,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.275,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
animal-diversity-web,Animal Diversity Web,endpoint absent,,-1,endpoint absent,[],True,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Other (Not Open) - other-closed -,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,[],{},,endpoint absent,[],None,"The Animal Diversity Web is an extraordinarily rich, multimedia natural history database with a high profile among educators and general audiences. We currently have 2,150 accounts of animal species online and 350 accounts of higher taxonomic groups. We also present 11,500 images and 725 animal sounds. We will add another 250 species in the next two months. Our site architecture is explicitly designed to permit rapid and virtually unlimited expansion.

We serve 200,000 pages of content to ~10,000 IP addresses every day. ",http://animaldiversity.ummz.umich.edu/site/about/overview.html,absent,"0,75",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,"Web:http://animaldiversity.ummz.umich.edu/site/about/overview.html Name:Hammond, G., M. Blankenship and K. Francl Email:Absent",endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,True,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.337,0,endpoint absent,[],http://animaldiversity.ummz.umich.edu/site/about/overview.html/.well-known/void,VoID file offline,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
apache,apache,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,{},endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Creative Commons Attribution - cc-by -,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,3,"1,000","0,002",endpoint absent,"['Name:w3c, value:5', 'Name:personal-homepages, value:104']","0,00016785983283254888",absent,absent,absent,"0,5",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,109,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,True,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.325,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
apertium-rdf,Apertium RDF,endpoint offline,http://linguistic.linkeddata.es/apertium/sparql-editor/,-1,endpoint offline,[],True,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,-1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Other (Open) - other-open -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,8842516,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,2,"1,000","0,001",endpoint offline,"['Name:babelnet, value:277089', 'Name:lexinfo, value:690650']","0,0001898012674221701","This dataset groups all the Apertium RDF bilingual dictionaries (see the whole list at  http://datahub.ckan.io/dataset?q=apertium+rdf&organization=oeg-upm). The dictionaries were converted into RDF from their LMF version, which can be found in Meta-Share (http://metashare.upf.edu/). The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). 
The Apertium RDF version has been generated by OEG (Universidad Politécnica de Madrid) jointly with IULA (Universitat Pompeu Fabra).
More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/",Absent,absent,"0,5",endpoint offline,endpoint offline,"Name: Jorge Gracia [RDF version], Email:jgracia@fi.upm.es",endpoint offline,endpoint offline,"Web:Absent Name:Universitat d'Alacant. Grup Transducens ; Eleka Ingenieritza Linguistikoa S.L ; Prompsit Language Engineering, S.L ; Jimmy O'Regan ; Universitat Pompeu Fabra. Institut Universitari de Lingüística Aplicada (IULA) ; and others Email:Absent",endpoint offline,8842516,967739,0.11,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,False,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.33,0,endpoint offline,[],,VoID file absent,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
apertium-rdf-ca-it,Apertium RDF CA-IT,endpoint offline,http://linguistic.linkeddata.es/sparql/,1,endpoint offline,"['http://linguistic.linkeddata.es/id/apertium/lexiconCA', 'http://linguistic.linkeddata.es/id/apertium/lexiconIT', 'http://linguistic.linkeddata.es/id/apertium/tranSetCA-IT']",True,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Other (Open) - other-open -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,180851,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,2,"1,000","0,001",endpoint offline,"['Name:babelnet, value:14212', 'Name:lexinfo, value:14592']","8,442578798177824e-05",RDF version of the Apertium bilingual dictionary CA-IT. The original dataset (in LMF) comes from http://hdl.handle.net/10230/17105. The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Absent,absent,"0,5",endpoint offline,endpoint offline,"Name: Jorge Gracia [RDF version], Email:jgracia@fi.upm.es",endpoint offline,endpoint offline,Web:Absent Name:Antonio Toral ; Mireia Ginestí Rosell ; Francis M. Tyers ; Universitat Pompeu Fabra. Institut Universitari de Lingüística Aplicada (IULA) Email:Absent,endpoint offline,180851,28804,0.16,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,False,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.433,0,endpoint offline,['https://datahub.ckan.io/dataset/5f0bdc5d-a515-4d40-87a4-521606fd2ff8/resource/ad1382ce-9a76-420a-97d6-ee05bbc7aa2d/download/apertium-ca-it_rdf.zip'],,VoID file absent,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
apertium-rdf-en-ca,Apertium RDF EN-CA,endpoint offline,http://linguistic.linkeddata.es/sparql/,1,endpoint offline,"['http://linguistic.linkeddata.es/id/apertium/lexiconEN', 'http://linguistic.linkeddata.es/id/apertium/lexiconCA', 'http://linguistic.linkeddata.es/id/apertium/tranSetEN-CA']",True,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Other (Open) - other-open -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,759601,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,2,"1,000","0,001",endpoint offline,"['Name:babelnet, value:30245', 'Name:lexinfo, value:61337']","9,149554317585861e-05",RDF version of the Apertium bilingual dictionary EN-ES The original dataset (in LMF) comes from http://hdl.handle.net/10230/17096. The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Absent,absent,"0,5",endpoint offline,endpoint offline,"Name: Jorge Gracia [RDF version], Email:jgracia@fi.upm.es",endpoint offline,endpoint offline,Web:Absent Name: Universitat d'Alacant. Grup Transducens ; Paul Breen ; Jimmy O'Regan ; Universitat Pompeu Fabra. Institut Universitari de Lingüística Aplicada (IULA) Email:Absent,endpoint offline,759601,91582,0.12,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,False,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.431,0,endpoint offline,['https://datahub.ckan.io/dataset/650cc2a5-ba56-4f7e-b274-77c518c8095a/resource/b14c0fd7-af25-4e3d-a2af-d26203009994/download/apertium-en-ca-pol-rdf.zip'],,VoID file absent,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
apertium-rdf-en-es,Apertium RDF EN-ES,endpoint offline,http://linguistic.linkeddata.es/sparql/,0,endpoint offline,"['http://linguistic.linkeddata.es/id/apertium/lexiconEN', 'http://linguistic.linkeddata.es/id/apertium/lexiconES', 'http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES']",True,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Other (Open) - other-open -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,576322,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,2,"1,000","0,001",endpoint offline,"['Name:babelnet, value:31290', 'Name:lexinfo, value:45449']","8,974797336720241e-05","RDF version of the Apertium bilingual dictionary EN-ES. The original dataset (in LMF) comes from http://hdl.handle.net/10230/17110 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/

",Absent,absent,"0,5",endpoint offline,endpoint offline,"Name: Jorge Gracia [RDF version], Email:jgracia@fi.upm.es",endpoint offline,endpoint offline,Web:Absent Name:Universitat d'Alacant. Grup Transducens ; Universitat Politècnica de Catalunya ; Jimmy O'Regan ; Paul Breen ; Universitat Pompeu Fabra. Institut Universitari de Lingüística Aplicada (IULA) Email:Absent,endpoint offline,576322,76739,0.13,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,False,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.381,0,endpoint offline,['https://datahub.ckan.io/dataset/47e9d8cc-5da9-4c02-960e-c00abee2b0d9/resource/6fa03351-3311-422d-8fa5-4c9ed4eee13b/download/apertium-en-es-rdf.zip'],,VoID file absent,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
