MODEL	FORMAT	CATEGORY	LS_RV	COUNT	ACCURACY_MEAN
command-R	kg_labeled	ALL	LS	20	0.325000
command-R	kg_labeled	ALL	RV	20	0.275000
command-R	kg_labeled	Co	LS	5	0.000000
command-R	kg_labeled	Co	RV	5	0.200000
command-R	kg_labeled	E&D	LS	5	0.300000
command-R	kg_labeled	E&D	RV	5	0.500000
command-R	kg_labeled	IR	LS	5	0.800000
command-R	kg_labeled	IR	RV	5	0.200000
command-R	kg_labeled	TA	LS	5	0.200000
command-R	kg_labeled	TA	RV	5	0.200000
command-R	metric_labeled	ALL	LS	20	0.275000
command-R	metric_labeled	ALL	RV	20	0.325000
command-R	metric_labeled	Co	LS	5	0.100000
command-R	metric_labeled	Co	RV	5	0.500000
command-R	metric_labeled	E&D	LS	5	0.300000
command-R	metric_labeled	E&D	RV	5	0.300000
command-R	metric_labeled	IR	LS	5	0.400000
command-R	metric_labeled	IR	RV	5	0.300000
command-R	metric_labeled	TA	LS	5	0.300000
command-R	metric_labeled	TA	RV	5	0.200000
command-R	time_labeled	ALL	LS	20	0.200000
command-R	time_labeled	ALL	RV	20	0.250000
command-R	time_labeled	Co	LS	5	0.000000
command-R	time_labeled	Co	RV	5	0.000000
command-R	time_labeled	E&D	LS	5	0.100000
command-R	time_labeled	E&D	RV	5	0.300000
command-R	time_labeled	IR	LS	5	0.500000
command-R	time_labeled	IR	RV	5	0.400000
command-R	time_labeled	TA	LS	5	0.200000
command-R	time_labeled	TA	RV	5	0.300000
command-R	unstructured	ALL	LS	20	0.500000
command-R	unstructured	ALL	RV	20	0.450000
command-R	unstructured	Co	LS	5	0.200000
command-R	unstructured	Co	RV	5	0.200000
command-R	unstructured	E&D	LS	5	0.600000
command-R	unstructured	E&D	RV	5	0.600000
command-R	unstructured	IR	LS	5	0.600000
command-R	unstructured	IR	RV	5	0.600000
command-R	unstructured	TA	LS	5	0.600000
command-R	unstructured	TA	RV	5	0.400000
command-R	value_labeled	ALL	LS	20	0.250000
command-R	value_labeled	ALL	RV	20	0.325000
command-R	value_labeled	Co	LS	5	0.000000
command-R	value_labeled	Co	RV	5	0.200000
command-R	value_labeled	E&D	LS	5	0.400000
command-R	value_labeled	E&D	RV	5	0.200000
command-R	value_labeled	IR	LS	5	0.400000
command-R	value_labeled	IR	RV	5	0.600000
command-R	value_labeled	TA	LS	5	0.200000
command-R	value_labeled	TA	RV	5	0.300000
deepseek-r1t2-chimera	4_uniform	ALL	LS	20	0.825000
deepseek-r1t2-chimera	4_uniform	ALL	RV	20	0.725000
deepseek-r1t2-chimera	4_uniform	Co	LS	5	0.600000
deepseek-r1t2-chimera	4_uniform	Co	RV	5	0.600000
deepseek-r1t2-chimera	4_uniform	E&D	LS	5	0.700000
deepseek-r1t2-chimera	4_uniform	E&D	RV	5	0.500000
deepseek-r1t2-chimera	4_uniform	IR	LS	5	1.000000
deepseek-r1t2-chimera	4_uniform	IR	RV	5	1.000000
deepseek-r1t2-chimera	4_uniform	TA	LS	5	1.000000
deepseek-r1t2-chimera	4_uniform	TA	RV	5	0.800000
deepseek-r1t2-chimera	ALL	ALL	LS	160	0.746875
deepseek-r1t2-chimera	ALL	ALL	RV	160	0.712500
deepseek-r1t2-chimera	ALL	Co	LS	40	0.612500
deepseek-r1t2-chimera	ALL	Co	RV	40	0.575000
deepseek-r1t2-chimera	ALL	E&D	LS	40	0.525000
deepseek-r1t2-chimera	ALL	E&D	RV	40	0.462500
deepseek-r1t2-chimera	ALL	IR	LS	40	0.925000
deepseek-r1t2-chimera	ALL	IR	RV	40	0.937500
deepseek-r1t2-chimera	ALL	TA	LS	40	0.925000
deepseek-r1t2-chimera	ALL	TA	RV	40	0.875000
deepseek-r1t2-chimera	CSV	ALL	LS	20	0.550000
deepseek-r1t2-chimera	CSV	ALL	RV	20	0.550000
deepseek-r1t2-chimera	CSV	Co	LS	5	0.400000
deepseek-r1t2-chimera	CSV	Co	RV	5	0.400000
deepseek-r1t2-chimera	CSV	E&D	LS	5	0.400000
deepseek-r1t2-chimera	CSV	E&D	RV	5	0.200000
deepseek-r1t2-chimera	CSV	IR	LS	5	0.800000
deepseek-r1t2-chimera	CSV	IR	RV	5	0.800000
deepseek-r1t2-chimera	CSV	TA	LS	5	0.600000
deepseek-r1t2-chimera	CSV	TA	RV	5	0.800000
deepseek-r1t2-chimera	KG	ALL	LS	20	0.650000
deepseek-r1t2-chimera	KG	ALL	RV	20	0.650000
deepseek-r1t2-chimera	KG	Co	LS	5	0.600000
deepseek-r1t2-chimera	KG	Co	RV	5	0.600000
deepseek-r1t2-chimera	KG	E&D	LS	5	0.400000
deepseek-r1t2-chimera	KG	E&D	RV	5	0.200000
deepseek-r1t2-chimera	KG	IR	LS	5	0.800000
deepseek-r1t2-chimera	KG	IR	RV	5	1.000000
deepseek-r1t2-chimera	KG	TA	LS	5	0.800000
deepseek-r1t2-chimera	KG	TA	RV	5	0.800000
deepseek-r1t2-chimera	kg_labeled	ALL	LS	20	0.825000
deepseek-r1t2-chimera	kg_labeled	ALL	RV	20	0.750000
deepseek-r1t2-chimera	kg_labeled	Co	LS	5	0.700000
deepseek-r1t2-chimera	kg_labeled	Co	RV	5	0.600000
deepseek-r1t2-chimera	kg_labeled	E&D	LS	5	0.600000
deepseek-r1t2-chimera	kg_labeled	E&D	RV	5	0.600000
deepseek-r1t2-chimera	kg_labeled	IR	LS	5	1.000000
deepseek-r1t2-chimera	kg_labeled	IR	RV	5	1.000000
deepseek-r1t2-chimera	kg_labeled	TA	LS	5	1.000000
deepseek-r1t2-chimera	kg_labeled	TA	RV	5	0.800000
deepseek-r1t2-chimera	metric_labeled	ALL	LS	20	0.750000
deepseek-r1t2-chimera	metric_labeled	ALL	RV	20	0.725000
deepseek-r1t2-chimera	metric_labeled	Co	LS	5	0.700000
deepseek-r1t2-chimera	metric_labeled	Co	RV	5	0.600000
deepseek-r1t2-chimera	metric_labeled	E&D	LS	5	0.300000
deepseek-r1t2-chimera	metric_labeled	E&D	RV	5	0.300000
deepseek-r1t2-chimera	metric_labeled	IR	LS	5	1.000000
deepseek-r1t2-chimera	metric_labeled	IR	RV	5	1.000000
deepseek-r1t2-chimera	metric_labeled	TA	LS	5	1.000000
deepseek-r1t2-chimera	metric_labeled	TA	RV	5	1.000000
deepseek-r1t2-chimera	time_labeled	ALL	LS	20	0.850000
deepseek-r1t2-chimera	time_labeled	ALL	RV	20	0.700000
deepseek-r1t2-chimera	time_labeled	Co	LS	5	0.600000
deepseek-r1t2-chimera	time_labeled	Co	RV	5	0.500000
deepseek-r1t2-chimera	time_labeled	E&D	LS	5	0.800000
deepseek-r1t2-chimera	time_labeled	E&D	RV	5	0.600000
deepseek-r1t2-chimera	time_labeled	IR	LS	5	1.000000
deepseek-r1t2-chimera	time_labeled	IR	RV	5	0.900000
deepseek-r1t2-chimera	time_labeled	TA	LS	5	1.000000
deepseek-r1t2-chimera	time_labeled	TA	RV	5	0.800000
deepseek-r1t2-chimera	unstructured	ALL	LS	20	0.750000
deepseek-r1t2-chimera	unstructured	ALL	RV	20	0.750000
deepseek-r1t2-chimera	unstructured	Co	LS	5	0.600000
deepseek-r1t2-chimera	unstructured	Co	RV	5	0.600000
deepseek-r1t2-chimera	unstructured	E&D	LS	5	0.600000
deepseek-r1t2-chimera	unstructured	E&D	RV	5	0.600000
deepseek-r1t2-chimera	unstructured	IR	LS	5	0.800000
deepseek-r1t2-chimera	unstructured	IR	RV	5	0.800000
deepseek-r1t2-chimera	unstructured	TA	LS	5	1.000000
deepseek-r1t2-chimera	unstructured	TA	RV	5	1.000000
deepseek-r1t2-chimera	value_labeled	ALL	LS	20	0.775000
deepseek-r1t2-chimera	value_labeled	ALL	RV	20	0.850000
deepseek-r1t2-chimera	value_labeled	Co	LS	5	0.700000
deepseek-r1t2-chimera	value_labeled	Co	RV	5	0.700000
deepseek-r1t2-chimera	value_labeled	E&D	LS	5	0.400000
deepseek-r1t2-chimera	value_labeled	E&D	RV	5	0.700000
deepseek-r1t2-chimera	value_labeled	IR	LS	5	1.000000
deepseek-r1t2-chimera	value_labeled	IR	RV	5	1.000000
deepseek-r1t2-chimera	value_labeled	TA	LS	5	1.000000
deepseek-r1t2-chimera	value_labeled	TA	RV	5	1.000000
gemini-2.5-pro	4_uniform	ALL	LS	20	0.825000
gemini-2.5-pro	4_uniform	ALL	RV	20	0.800000
gemini-2.5-pro	4_uniform	Co	LS	5	0.600000
gemini-2.5-pro	4_uniform	Co	RV	5	0.600000
gemini-2.5-pro	4_uniform	E&D	LS	5	0.700000
gemini-2.5-pro	4_uniform	E&D	RV	5	0.800000
gemini-2.5-pro	4_uniform	IR	LS	5	1.000000
gemini-2.5-pro	4_uniform	IR	RV	5	0.800000
gemini-2.5-pro	4_uniform	TA	LS	5	1.000000
gemini-2.5-pro	4_uniform	TA	RV	5	1.000000
gemini-2.5-pro	ALL	ALL	LS	160	0.818750
gemini-2.5-pro	ALL	ALL	RV	160	0.753125
gemini-2.5-pro	ALL	Co	LS	40	0.650000
gemini-2.5-pro	ALL	Co	RV	40	0.550000
gemini-2.5-pro	ALL	E&D	LS	40	0.625000
gemini-2.5-pro	ALL	E&D	RV	40	0.637500
gemini-2.5-pro	ALL	IR	LS	40	1.000000
gemini-2.5-pro	ALL	IR	RV	40	0.875000
gemini-2.5-pro	ALL	TA	LS	40	1.000000
gemini-2.5-pro	ALL	TA	RV	40	0.950000
gemini-2.5-pro	CSV	ALL	LS	20	0.775000
gemini-2.5-pro	CSV	ALL	RV	20	0.700000
gemini-2.5-pro	CSV	Co	LS	5	0.600000
gemini-2.5-pro	CSV	Co	RV	5	0.600000
gemini-2.5-pro	CSV	E&D	LS	5	0.500000
gemini-2.5-pro	CSV	E&D	RV	5	0.600000
gemini-2.5-pro	CSV	IR	LS	5	1.000000
gemini-2.5-pro	CSV	IR	RV	5	0.800000
gemini-2.5-pro	CSV	TA	LS	5	1.000000
gemini-2.5-pro	CSV	TA	RV	5	0.800000
gemini-2.5-pro	KG	ALL	LS	20	0.775000
gemini-2.5-pro	KG	ALL	RV	20	0.725000
gemini-2.5-pro	KG	Co	LS	5	0.600000
gemini-2.5-pro	KG	Co	RV	5	0.300000
gemini-2.5-pro	KG	E&D	LS	5	0.500000
gemini-2.5-pro	KG	E&D	RV	5	0.600000
gemini-2.5-pro	KG	IR	LS	5	1.000000
gemini-2.5-pro	KG	IR	RV	5	1.000000
gemini-2.5-pro	KG	TA	LS	5	1.000000
gemini-2.5-pro	KG	TA	RV	5	1.000000
gemini-2.5-pro	kg_labeled	ALL	LS	20	0.825000
gemini-2.5-pro	kg_labeled	ALL	RV	20	0.825000
gemini-2.5-pro	kg_labeled	Co	LS	5	0.700000
gemini-2.5-pro	kg_labeled	Co	RV	5	0.600000
gemini-2.5-pro	kg_labeled	E&D	LS	5	0.600000
gemini-2.5-pro	kg_labeled	E&D	RV	5	0.700000
gemini-2.5-pro	kg_labeled	IR	LS	5	1.000000
gemini-2.5-pro	kg_labeled	IR	RV	5	1.000000
gemini-2.5-pro	kg_labeled	TA	LS	5	1.000000
gemini-2.5-pro	kg_labeled	TA	RV	5	1.000000
gemini-2.5-pro	metric_labeled	ALL	LS	20	0.800000
gemini-2.5-pro	metric_labeled	ALL	RV	20	0.750000
gemini-2.5-pro	metric_labeled	Co	LS	5	0.700000
gemini-2.5-pro	metric_labeled	Co	RV	5	0.500000
gemini-2.5-pro	metric_labeled	E&D	LS	5	0.500000
gemini-2.5-pro	metric_labeled	E&D	RV	5	0.600000
gemini-2.5-pro	metric_labeled	IR	LS	5	1.000000
gemini-2.5-pro	metric_labeled	IR	RV	5	0.900000
gemini-2.5-pro	metric_labeled	TA	LS	5	1.000000
gemini-2.5-pro	metric_labeled	TA	RV	5	1.000000
gemini-2.5-pro	time_labeled	ALL	LS	20	0.850000
gemini-2.5-pro	time_labeled	ALL	RV	20	0.750000
gemini-2.5-pro	time_labeled	Co	LS	5	0.700000
gemini-2.5-pro	time_labeled	Co	RV	5	0.600000
gemini-2.5-pro	time_labeled	E&D	LS	5	0.700000
gemini-2.5-pro	time_labeled	E&D	RV	5	0.600000
gemini-2.5-pro	time_labeled	IR	LS	5	1.000000
gemini-2.5-pro	time_labeled	IR	RV	5	0.800000
gemini-2.5-pro	time_labeled	TA	LS	5	1.000000
gemini-2.5-pro	time_labeled	TA	RV	5	1.000000
gemini-2.5-pro	unstructured	ALL	LS	20	0.800000
gemini-2.5-pro	unstructured	ALL	RV	20	0.725000
gemini-2.5-pro	unstructured	Co	LS	5	0.600000
gemini-2.5-pro	unstructured	Co	RV	5	0.600000
gemini-2.5-pro	unstructured	E&D	LS	5	0.600000
gemini-2.5-pro	unstructured	E&D	RV	5	0.700000
gemini-2.5-pro	unstructured	IR	LS	5	1.000000
gemini-2.5-pro	unstructured	IR	RV	5	0.800000
gemini-2.5-pro	unstructured	TA	LS	5	1.000000
gemini-2.5-pro	unstructured	TA	RV	5	0.800000
gemini-2.5-pro	value_labeled	ALL	LS	20	0.900000
gemini-2.5-pro	value_labeled	ALL	RV	20	0.750000
gemini-2.5-pro	value_labeled	Co	LS	5	0.700000
gemini-2.5-pro	value_labeled	Co	RV	5	0.600000
gemini-2.5-pro	value_labeled	E&D	LS	5	0.900000
gemini-2.5-pro	value_labeled	E&D	RV	5	0.500000
gemini-2.5-pro	value_labeled	IR	LS	5	1.000000
gemini-2.5-pro	value_labeled	IR	RV	5	0.900000
gemini-2.5-pro	value_labeled	TA	LS	5	1.000000
gemini-2.5-pro	value_labeled	TA	RV	5	1.000000
gpt-5-mini	4_uniform	ALL	LS	20	0.750000
gpt-5-mini	4_uniform	ALL	RV	20	0.675000
gpt-5-mini	4_uniform	Co	LS	5	0.700000
gpt-5-mini	4_uniform	Co	RV	5	0.600000
gpt-5-mini	4_uniform	E&D	LS	5	0.300000
gpt-5-mini	4_uniform	E&D	RV	5	0.300000
gpt-5-mini	4_uniform	IR	LS	5	1.000000
gpt-5-mini	4_uniform	IR	RV	5	1.000000
gpt-5-mini	4_uniform	TA	LS	5	1.000000
gpt-5-mini	4_uniform	TA	RV	5	0.800000
gpt-5-mini	ALL	ALL	LS	160	0.712500
gpt-5-mini	ALL	ALL	RV	160	0.643750
gpt-5-mini	ALL	Co	LS	40	0.575000
gpt-5-mini	ALL	Co	RV	40	0.525000
gpt-5-mini	ALL	E&D	LS	40	0.412500
gpt-5-mini	ALL	E&D	RV	40	0.337500
gpt-5-mini	ALL	IR	LS	40	0.950000
gpt-5-mini	ALL	IR	RV	40	0.887500
gpt-5-mini	ALL	TA	LS	40	0.912500
gpt-5-mini	ALL	TA	RV	40	0.825000
gpt-5-mini	CSV	ALL	LS	20	0.475000
gpt-5-mini	CSV	ALL	RV	20	0.525000
gpt-5-mini	CSV	Co	LS	5	0.400000
gpt-5-mini	CSV	Co	RV	5	0.400000
gpt-5-mini	CSV	E&D	LS	5	0.300000
gpt-5-mini	CSV	E&D	RV	5	0.300000
gpt-5-mini	CSV	IR	LS	5	0.600000
gpt-5-mini	CSV	IR	RV	5	0.600000
gpt-5-mini	CSV	TA	LS	5	0.600000
gpt-5-mini	CSV	TA	RV	5	0.800000
gpt-5-mini	KG	ALL	LS	20	0.725000
gpt-5-mini	KG	ALL	RV	20	0.675000
gpt-5-mini	KG	Co	LS	5	0.500000
gpt-5-mini	KG	Co	RV	5	0.500000
gpt-5-mini	KG	E&D	LS	5	0.400000
gpt-5-mini	KG	E&D	RV	5	0.200000
gpt-5-mini	KG	IR	LS	5	1.000000
gpt-5-mini	KG	IR	RV	5	1.000000
gpt-5-mini	KG	TA	LS	5	1.000000
gpt-5-mini	KG	TA	RV	5	1.000000
gpt-5-mini	kg_labeled	ALL	LS	20	0.675000
gpt-5-mini	kg_labeled	ALL	RV	20	0.650000
gpt-5-mini	kg_labeled	Co	LS	5	0.600000
gpt-5-mini	kg_labeled	Co	RV	5	0.600000
gpt-5-mini	kg_labeled	E&D	LS	5	0.300000
gpt-5-mini	kg_labeled	E&D	RV	5	0.300000
gpt-5-mini	kg_labeled	IR	LS	5	1.000000
gpt-5-mini	kg_labeled	IR	RV	5	1.000000
gpt-5-mini	kg_labeled	TA	LS	5	0.800000
gpt-5-mini	kg_labeled	TA	RV	5	0.700000
gpt-5-mini	metric_labeled	ALL	LS	20	0.725000
gpt-5-mini	metric_labeled	ALL	RV	20	0.750000
gpt-5-mini	metric_labeled	Co	LS	5	0.600000
gpt-5-mini	metric_labeled	Co	RV	5	0.600000
gpt-5-mini	metric_labeled	E&D	LS	5	0.300000
gpt-5-mini	metric_labeled	E&D	RV	5	0.400000
gpt-5-mini	metric_labeled	IR	LS	5	1.000000
gpt-5-mini	metric_labeled	IR	RV	5	1.000000
gpt-5-mini	metric_labeled	TA	LS	5	1.000000
gpt-5-mini	metric_labeled	TA	RV	5	1.000000
gpt-5-mini	time_labeled	ALL	LS	20	0.725000
gpt-5-mini	time_labeled	ALL	RV	20	0.625000
gpt-5-mini	time_labeled	Co	LS	5	0.600000
gpt-5-mini	time_labeled	Co	RV	5	0.500000
gpt-5-mini	time_labeled	E&D	LS	5	0.300000
gpt-5-mini	time_labeled	E&D	RV	5	0.300000
gpt-5-mini	time_labeled	IR	LS	5	1.000000
gpt-5-mini	time_labeled	IR	RV	5	0.900000
gpt-5-mini	time_labeled	TA	LS	5	1.000000
gpt-5-mini	time_labeled	TA	RV	5	0.800000
gpt-5-mini	unstructured	ALL	LS	20	0.875000
gpt-5-mini	unstructured	ALL	RV	20	0.625000
gpt-5-mini	unstructured	Co	LS	5	0.700000
gpt-5-mini	unstructured	Co	RV	5	0.500000
gpt-5-mini	unstructured	E&D	LS	5	0.900000
gpt-5-mini	unstructured	E&D	RV	5	0.500000
gpt-5-mini	unstructured	IR	LS	5	1.000000
gpt-5-mini	unstructured	IR	RV	5	0.600000
gpt-5-mini	unstructured	TA	LS	5	0.900000
gpt-5-mini	unstructured	TA	RV	5	0.900000
gpt-5-mini	value_labeled	ALL	LS	20	0.750000
gpt-5-mini	value_labeled	ALL	RV	20	0.625000
gpt-5-mini	value_labeled	Co	LS	5	0.500000
gpt-5-mini	value_labeled	Co	RV	5	0.500000
gpt-5-mini	value_labeled	E&D	LS	5	0.500000
gpt-5-mini	value_labeled	E&D	RV	5	0.400000
gpt-5-mini	value_labeled	IR	LS	5	1.000000
gpt-5-mini	value_labeled	IR	RV	5	1.000000
gpt-5-mini	value_labeled	TA	LS	5	1.000000
gpt-5-mini	value_labeled	TA	RV	5	0.600000
kimi-k2	4_uniform	ALL	LS	20	0.725000
kimi-k2	4_uniform	ALL	RV	20	0.725000
kimi-k2	4_uniform	Co	LS	5	0.600000
kimi-k2	4_uniform	Co	RV	5	0.700000
kimi-k2	4_uniform	E&D	LS	5	0.400000
kimi-k2	4_uniform	E&D	RV	5	0.500000
kimi-k2	4_uniform	IR	LS	5	0.900000
kimi-k2	4_uniform	IR	RV	5	0.900000
kimi-k2	4_uniform	TA	LS	5	1.000000
kimi-k2	4_uniform	TA	RV	5	0.800000
kimi-k2	ALL	ALL	LS	160	0.768750
kimi-k2	ALL	ALL	RV	160	0.775000
kimi-k2	ALL	Co	LS	40	0.587500
kimi-k2	ALL	Co	RV	40	0.587500
kimi-k2	ALL	E&D	LS	40	0.537500
kimi-k2	ALL	E&D	RV	40	0.625000
kimi-k2	ALL	IR	LS	40	0.975000
kimi-k2	ALL	IR	RV	40	0.962500
kimi-k2	ALL	TA	LS	40	0.975000
kimi-k2	ALL	TA	RV	40	0.925000
kimi-k2	CSV	ALL	LS	20	0.675000
kimi-k2	CSV	ALL	RV	20	0.575000
kimi-k2	CSV	Co	LS	5	0.500000
kimi-k2	CSV	Co	RV	5	0.400000
kimi-k2	CSV	E&D	LS	5	0.400000
kimi-k2	CSV	E&D	RV	5	0.300000
kimi-k2	CSV	IR	LS	5	1.000000
kimi-k2	CSV	IR	RV	5	1.000000
kimi-k2	CSV	TA	LS	5	0.800000
kimi-k2	CSV	TA	RV	5	0.600000
kimi-k2	KG	ALL	LS	20	0.750000
kimi-k2	KG	ALL	RV	20	0.775000
kimi-k2	KG	Co	LS	5	0.600000
kimi-k2	KG	Co	RV	5	0.600000
kimi-k2	KG	E&D	LS	5	0.500000
kimi-k2	KG	E&D	RV	5	0.500000
kimi-k2	KG	IR	LS	5	0.900000
kimi-k2	KG	IR	RV	5	1.000000
kimi-k2	KG	TA	LS	5	1.000000
kimi-k2	KG	TA	RV	5	1.000000
kimi-k2	kg_labeled	ALL	LS	20	0.850000
kimi-k2	kg_labeled	ALL	RV	20	0.825000
kimi-k2	kg_labeled	Co	LS	5	0.600000
kimi-k2	kg_labeled	Co	RV	5	0.600000
kimi-k2	kg_labeled	E&D	LS	5	0.800000
kimi-k2	kg_labeled	E&D	RV	5	0.700000
kimi-k2	kg_labeled	IR	LS	5	1.000000
kimi-k2	kg_labeled	IR	RV	5	1.000000
kimi-k2	kg_labeled	TA	LS	5	1.000000
kimi-k2	kg_labeled	TA	RV	5	1.000000
kimi-k2	metric_labeled	ALL	LS	20	0.800000
kimi-k2	metric_labeled	ALL	RV	20	0.850000
kimi-k2	metric_labeled	Co	LS	5	0.700000
kimi-k2	metric_labeled	Co	RV	5	0.700000
kimi-k2	metric_labeled	E&D	LS	5	0.500000
kimi-k2	metric_labeled	E&D	RV	5	0.700000
kimi-k2	metric_labeled	IR	LS	5	1.000000
kimi-k2	metric_labeled	IR	RV	5	1.000000
kimi-k2	metric_labeled	TA	LS	5	1.000000
kimi-k2	metric_labeled	TA	RV	5	1.000000
kimi-k2	time_labeled	ALL	LS	20	0.775000
kimi-k2	time_labeled	ALL	RV	20	0.850000
kimi-k2	time_labeled	Co	LS	5	0.600000
kimi-k2	time_labeled	Co	RV	5	0.600000
kimi-k2	time_labeled	E&D	LS	5	0.500000
kimi-k2	time_labeled	E&D	RV	5	0.800000
